file,bbox_center,depth_center,center_delta,bottom,depth_bottom,bottom_delta,bright_lower_band
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\barracks\barracks_v01_body.png,512.5,511.5,1.0,874,879,-5,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\barracks\barracks_v02_body.png,511.5,511.5,0.0,876,879,-3,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\blacksmith\blacksmith_v01_body.png,513.0,512.0,1.0,874,879,-5,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\blacksmith\blacksmith_v02_body.png,511.0,512.0,-1.0,878,879,-1,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\cavalry_school\cavalry_school_v01_body.png,512.5,512.0,0.5,877,879,-2,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\cavalry_school\cavalry_school_v02_body.png,509.5,512.0,-2.5,878,879,-1,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\church\church_v01_body.png,519.0,512.0,7.0,882,879,3,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\church\church_v02_body.png,518.0,512.0,6.0,882,879,3,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\church\church_v03_body.png,515.5,512.0,3.5,882,879,3,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\defense_base\defense_base_v01_body.png,511.5,511.5,0.0,875,879,-4,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\defense_base\defense_base_v02_body.png,513.0,511.5,1.5,874,879,-5,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\defense_base\defense_base_v03_body.png,511.0,511.5,-0.5,877,879,-2,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\mine\mine_v01_body.png,514.0,511.5,2.5,875,879,-4,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\mine\mine_v02_body.png,512.5,511.5,1.0,877,879,-2,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\mine\mine_v03_body.png,511.5,511.5,0.0,878,879,-1,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\portal\portal_v01_body.png,512.5,511.5,1.0,878,879,-1,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\portal\portal_v02_body.png,515.0,511.5,3.5,879,879,0,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\research_institute\research_institute_v01_body.png,512.5,511.5,1.0,877,879,-2,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\research_institute\research_institute_v02_body.png,512.5,511.5,1.0,882,879,3,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\shooting_range\shooting_range_v01_body.png,512.5,511.5,1.0,877,879,-2,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\shooting_range\shooting_range_v02_body.png,513.5,511.5,2.0,877,879,-2,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\shooting_range\shooting_range_v03_body.png,512.0,511.5,0.5,877,879,-2,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\thatch_hut\thatch_hut_v01_body.png,514.5,511.5,3.0,877,879,-2,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\thatch_hut\thatch_hut_v02_body.png,518.5,511.5,7.0,876,879,-3,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\thatch_hut\thatch_hut_v03_body.png,516.5,511.5,5.0,875,879,-4,False
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\warehouse\warehouse_v01_body.png,512.0,511.5,0.5,878,879,-1,True
Y:\工作\无尽轮回\scratch\world122_building_candidates_20260820\warehouse\warehouse_v02_body.png,513.0,511.5,1.5,876,879,-3,False
